"expc","educ","ypc","sexo"
191,"1",2112917,"1"
144,"5",206000,"2"
98,"5",183333,"2"
40,"3",178907,"2"
243,"7",148717,"2"
42,"5",242756,"1"
30,"1",253914,"1"
83,"3",874167,"2"
88,"2",6e+05,"2"
433,"7",448576,"2"
238,"1",60771,"1"
274,"4",403084,"1"
78,"11",2535556,"2"
141,"11",1087500,"1"
66,"5",4e+05,"1"
112,"5",234884,"2"
74,"1",192991,"1"
15,"3",216668,"2"
141,"6",580000,"2"
65,"11",300556,"2"
33,"11",366667,"2"
234,"1",88666,"2"
84,"2",218333,"1"
336,"0",56667,"2"
190,"11",401417,"2"
140,"2",296566,"1"
679,"5",470000,"1"
141,"1",127917,"2"
48,"9",123750,"2"
156,"8",264000,"1"
116,"3",214331,"1"
93,"2",955000,"1"
113,"1",163097,"2"
264,"0",287323,"1"
57,"4",112275,"2"
82,"9",153888,"1"
62,"1",224932,"2"
355,"8",1119444,"2"
73,"9",374000,"2"
133,"2",66784,"2"
58,"0",120625,"1"
85,"5",255000,"2"
64,"6",196073,"2"
101,"9",165250,"1"
105,"8",209693,"1"
63,"9",349909,"2"
567,"1",45218,"2"
117,"8",684167,"2"
72,"1",109735,"1"
77,"1",177263,"1"
117,"2",306875,"1"
51,"0",126017,"2"
125,"5",187124,"2"
202,"8",116492,"1"
421,"1",285001,"1"
365,"1",181250,"2"
166,"9",183053,"2"
107,"6",173543,"2"
83,"1",164773,"1"
135,"8",293194,"1"
38,"3",95285,"2"
176,"5",382463,"1"
120,"5",301944,"2"
159,"4",733542,"2"
84,"8",5e+05,"1"
195,"1",179578,"1"
116,"2",262183,"1"
66,"6",211228,"1"
403,"6",360833,"2"
47,"1",73000,"1"
157,"7",3e+05,"1"
54,"3",92719,"1"
153,"5",666563,"1"
159,"5",538500,"2"
117,"3",240000,"2"
43,"0",174000,"2"
50,"5",534317,"1"
139,"8",901667,"2"
65,"5",398309,"2"
26,"5",761000,"1"
126,"1",185000,"2"
75,"4",292000,"2"
136,"6",183333,"2"
162,"3",80065,"2"
68,"1",510037,"1"
241,"9",585000,"1"
75,"3",142641,"2"
340,"5",148737,"2"
202,"5",236111,"2"
313,"2",2e+05,"2"
208,"3",68865,"1"
441,"3",184561,"2"
86,"7",675000,"1"
47,"1",224916,"2"
64,"2",187050,"2"
62,"2",205561,"2"
121,"1",177786,"1"
134,"2",449466,"1"
59,"5",123080,"1"
92,"5",378588,"2"
83,"2",1e+06,"1"
151,"4",130536,"2"
187,"1",327085,"1"
15,"5",675000,"2"
87,"2",142027,"1"
231,"2",237323,"2"
333,"5",420000,"2"
117,"1",645859,"1"
36,"5",1006333,"1"
93,"5",630000,"2"
21,"0",530975,"1"
72,"2",304167,"2"
149,"4",404049,"2"
127,"0",1418917,"2"
310,"3",262778,"2"
683,"6",369250,"2"
74,"6",434882,"2"
357,"7",147500,"1"
123,"0",201786,"1"
86,"9",726945,"2"
15,"1",118908,"1"
113,"1",89370,"2"
115,"1",177266,"2"
278,"5",290000,"1"
68,"5",373000,"2"
121,"0",78318,"1"
109,"4",243950,"2"
236,"9",495000,"1"
217,"0",209990,"1"
94,"3",73089,"1"
97,"0",205038,"1"
415,"9",274000,"2"
488,"8",325523,"1"
85,"0",506561,"1"
35,"11",272306,"2"
93,"1",531000,"2"
100,"2",339407,"1"
106,"3",442356,"2"
18,"1",294977,"2"
110,"0",107377,"1"
79,"5",184572,"1"
93,"1",109597,"1"
209,"9",407898,"1"
194,"1",286667,"1"
72,"1",243076,"1"
122,"0",123684,"1"
274,"3",147350,"2"
69,"0",660000,"1"
356,"5",875093,"2"
50,"6",220000,"2"
91,"3",104583,"2"
100,"2",259352,"1"
161,"7",322298,"1"
122,"11",334882,"1"
112,"7",655000,"2"
268,"0",242323,"1"
105,"5",151068,"2"
416,"3",139775,"1"
184,"7",816750,"2"
233,"1",310771,"2"
180,"2",209674,"2"
43,"1",156020,"2"
123,"5",327100,"2"
64,"2",250833,"1"
46,"3",75528,"2"
133,"8",883333,"2"
429,"11",203889,"1"
159,"0",101721,"1"
73,"4",263987,"2"
158,"6",398750,"2"
88,"2",249831,"2"
54,"1",314888,"2"
52,"11",564500,"1"
139,"5",912500,"2"
141,"0",566783,"1"
42,"1",341389,"2"
85,"6",103581,"1"
70,"3",158959,"1"
92,"3",4e+06,"2"
41,"11",425000,"2"
176,"1",167283,"2"
255,"1",974798,"1"
44,"1",77277,"2"
111,"1",397215,"1"
47,"0",905209,"2"
261,"0",261042,"1"
67,"5",264782,"1"
73,"7",201162,"1"
30,"5",220833,"2"
102,"3",373000,"2"
75,"5",164144,"2"
140,"11",5e+05,"2"
364,"7",178611,"1"
35,"3",195271,"2"
181,"11",6e+05,"2"
94,"5",172957,"1"
350,"5",243250,"1"
54,"5",224822,"2"
165,"11",580000,"1"
64,"5",205450,"2"
189,"5",367496,"1"
226,"1",193890,"2"
108,"0",128027,"1"
188,"0",194311,"2"
268,"3",100921,"1"
107,"1",143974,"1"
99,"3",270524,"1"
333,"9",237500,"2"
196,"11",352500,"2"
74,"11",184469,"2"
25,"2",133450,"2"
365,"2",373944,"2"
66,"1",75000,"2"
29,"5",4e+05,"2"
58,"2",734138,"1"
170,"4",254730,"2"
84,"1",391667,"1"
28,"1",145266,"2"
27,"11",305556,"2"
156,"2",479813,"2"
192,"9",624583,"2"
287,"11",463500,"2"
163,"0",86184,"2"
109,"11",664222,"2"
36,"1",379287,"2"
109,"11",292448,"2"
195,"1",226539,"1"
464,"5",253368,"1"
132,"3",510000,"2"
52,"9",1011498,"1"
153,"5",61723,"2"
331,"5",176012,"1"
143,"1",1679747,"1"
87,"5",260780,"2"
139,"1",165568,"2"
78,"1",205479,"1"
78,"5",224830,"2"
100,"1",217929,"2"
128,"2",399888,"1"
122,"3",770417,"2"
170,"5",284561,"2"
97,"4",151876,"1"
39,"3",111495,"2"
313,"9",460000,"2"
132,"1",246455,"2"
235,"2",291945,"1"
128,"1",107592,"2"
330,"1",260750,"2"
120,"3",143500,"2"
31,"7",176767,"2"
67,"3",448889,"1"
34,"1",144000,"1"
118,"9",1852708,"2"
92,"8",275167,"2"
115,"11",602500,"2"
352,"3",267523,"1"
200,"2",242218,"1"
112,"3",106315,"1"
144,"8",166546,"1"
33,"1",143702,"2"
106,"11",170824,"1"
165,"1",580000,"2"
184,"11",236000,"1"
63,"6",204577,"2"
76,"9",260761,"1"
288,"5",445000,"2"
429,"1",222917,"2"
68,"3",475278,"1"
90,"2",336400,"2"
285,"1",3e+05,"1"
429,"6",153739,"1"
352,"0",418475,"2"
141,"1",67000,"1"
285,"3",451000,"1"
174,"5",353263,"2"
255,"1",247500,"1"
195,"3",174592,"1"
268,"1",263262,"2"
117,"5",152916,"2"
66,"5",415249,"1"
535,"1",108746,"2"
106,"0",325000,"1"
46,"3",190750,"2"
143,"1",3e+05,"2"
462,"1",237500,"1"
321,"3",292500,"1"
163,"11",357000,"2"
300,"3",247039,"1"
331,"3",638665,"2"
223,"3",118860,"2"
219,"3",868056,"2"
331,"1",276333,"1"
19,"5",550000,"1"
161,"5",162500,"1"
110,"0",762500,"1"
79,"6",129925,"2"
365,"5",394823,"1"
344,"9",685556,"1"
456,"0",67030,"1"
35,"2",238261,"1"
81,"11",125000,"1"
371,"0",343833,"1"
113,"3",289945,"2"
120,"1",197368,"1"
143,"1",156871,"1"
16,"5",293694,"1"
274,"5",385208,"2"
59,"5",3951875,"1"
426,"1",131518,"2"
136,"1",119901,"1"
315,"3",378631,"1"
254,"6",287500,"2"
54,"5",20000,"1"
73,"1",473317,"2"
189,"6",357500,"2"
113,"6",279486,"2"
404,"0",182269,"1"
150,"1",204356,"1"
23,"2",234646,"2"
89,"9",275000,"1"
82,"3",362583,"2"
168,"4",166667,"2"
135,"0",122083,"1"
12,"11",306526,"2"
52,"9",1676194,"1"
27,"6",85392,"2"
59,"3",319063,"2"
64,"2",107259,"1"
188,"0",100487,"1"
67,"2",108749,"2"
17,"6",234667,"2"
175,"9",183333,"1"
136,"8",2038333,"2"
59,"2",185555,"2"
415,"2",70000,"1"
146,"5",219001,"1"
124,"1",341667,"1"
298,"5",240424,"2"
96,"1",242335,"1"
23,"5",475000,"1"
16,"6",82629,"2"
274,"11",185000,"1"
103,"9",364666,"2"
141,"9",87428,"2"
80,"2",188944,"2"
187,"1",290000,"1"
118,"5",128468,"2"
280,"1",278947,"2"
144,"11",594861,"2"
73,"1",4e+05,"1"
115,"7",113333,"2"
429,"8",255556,"1"
63,"8",150000,"2"
131,"5",151352,"1"
19,"5",137500,"1"
181,"1",342640,"1"
